street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
3106E COLUMBUS DR,TAMPA,33605,FL,SINGLE FAMILY,3,2,1998,81422,168802,5/27/22,343000
2808N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,2,2,1946,44213,102260,12/3/21,229900
2804N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1965,44213,171340,6/2/22,328000
2710N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,43328,204220,8/5/20,225000
2708N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,43328,204220,7/2/20,240000
2711N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1935,45398,52825,3/28/22,229000
2709N 33RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,45398,225068,7/22/21,285000
3601E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1928,42925,93623,10/7/20,135000
3504 BISHOP EDDIE NEWKIRK WAY,TAMPA,33605,FL,SINGLE FAMILY,4,2,1927,64260,116503,9/3/21,205000
3511 BISHOP EDDIE NEWKIRK WAY,TAMPA,33605,FL,SINGLE FAMILY,2,1,1928,46325,110865,11/19/20,151000
3508E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,61934,66329,8/4/21,138000
3518E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,64839,223982,4/15/21,277000
3520E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,63721,212439,1/25/21,270000
3522E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,64839,223499,2/10/21,275000
3524E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,64839,209483,2/26/21,250000
3513E 27TH 1/2 AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,61486,242860,3/21/22,100
3201N 24TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1951,37706,89459,4/7/22,85000
3105 MACHADO ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,34458,58068,7/31/20,86500
2312E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1918,41367,85558,6/4/21,180000
2308E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1940,45518,71383,5/14/21,150000
2206E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,2020,45518,292871,10/30/20,291000
2203E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,2021,37485,279740,9/29/21,292200
2302E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,2021,43616,279740,4/30/21,288600
2304E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,47988,206760,4/30/21,249500
2312E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,2006,47988,191763,4/27/22,340000
3006N 24TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1944,54442,109151,12/7/20,132000
3013N 23RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1927,64724,225268,1/15/21,328000
3014N 23RD ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1950,35004,146850,10/30/20,187000
3003N THELMA ST,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2020,35004,244073,12/21/20,276200
3006 THELMA ST,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2021,35004,221786,5/21/21,265000
3006 THELMA ST,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2021,35004,221786,11/19/21,306000
2216E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2,1950,50374,98278,6/10/21,192000
